,Hpa-NO_1d,Hpa-NO_2d,Hpa-NO_4d
AT2G38470,0.906000416,0.906000416,0.906000416
AT5G40100,-0.44796003,-0.560154646,-5.091964284
AT1G06930,1.778358524,0,0
AT1G04470,0,1.175149691,0
AT5G66730,0.055374646,0.098434984,-0.101756864
AT2G38471,0.505,0.505,0.505
